gene	uemd
AIG1	0.0638035510615166
AIMP1	0
AIPL1	0
AIRE	0
AJAP1	0
AK3	0.000245119291388476
AK4	0
AK5	0
AK7	0
AK8	0
AK9	0
AKAP1	0
AKAP10	0
AKAP11	0
AKAP12	0
AKAP13	0
AKAP17A	0.399791231732777
AKAP3	0
AKAP4	0.620041753653444
AKAP6	0
AKAP7	0
AKAP8	0
AKAP8L	0
AKAP9	0
AKIRIN1	0
AKNA	0
AKNAD1	0
AKR1A1	0
AKR1C1	0
AKR1C2	0
AKR1C3	0
AKR1C4	0
AKR7A3	0
AKT1	1.68710772575987
AKT2	0
AKT3	0.0242668098474591
AKTIP	0.0250655318921875
ALAS1	0.0301213257118465
ALAS2	0.516701461377871
ALCAM	0
ALDH18A1	0
ALDH1A1	0
ALDH1A3	0
ALDH1B1	0
ALDH1L1	0
ALDH1L2	0
ALDH3A2	0
ALDH3B2	0
ALDH5A1	0
ALDH6A1	0
ALDH8A1	0
ALDH9A1	0
ALDOA	0
ALDOB	0
ALDOC	0.0485336196949181
ALG1	0
ALG10	0
ALG10B	0
ALG11	0
ALG12	0
ALG13	0.310020876826722
ALG14	0
ALG3	0
ALG5	0
ALG6	0
ALK	0
ALKAL2	0
ALKBH1	0
ALKBH2	0.000889599605141169
ALKBH3	0
ALKBH5	0.177196235501277
ALKBH8	0
ALLC	0
ALMS1	0.000490238582776951
ALOX12	0
ALOX12B	0
ALOX15	0
ALOX15B	0
ALOX5AP	0.0638035510615166
ALOXE3	0
ALPG	0
ALPI	0
ALPK1	0
ALPK2	0
ALPK3	0
ALPL	0
ALS2	0
ALS2CL	0
ALX4	0
AMACR	0
AMBN	0
AMBP	0
AMBRA1	0
AMD1	0
AMDHD1	0
AMDHD2	0
AMELX	0.103340292275574
AMER1	0.927974947807934
AMER2	0
AMER3	0
AMHR2	0
AMIGO1	0.160880795320389
AMIGO2	0
AMIGO3	0
AMMECR1L	0.0631590707477639
AMOT	0.305845511482254
AMOTL1	0
AMPD1	0
AMPD2	0
AMPD3	0.0172667364784195
AMPH	0
AMZ1	0
AMZ2	0
ANAPC1	0
ANAPC10	0.0242668098474591
ANAPC4	0
ANAPC5	0
ANAPC7	0
ANGEL1	0
ANGEL2	0
ANGPT1	0.207726093365438
ANGPT2	0
ANGPT4	0
ANGPTL1	0
ANGPTL3	0.065446850800723
ANGPTL4	0
ANGPTL5	0
ANK1	0
ANK2	0
ANK3	0
ANKAR	0
ANKDD1B	0
ANKEF1	0
ANKFN1	0
ANKFY1	0
ANKH	0
ANKIB1	0
ANKK1	0
ANKLE2	0
ANKMY1	0
ANKMY2	0
ANKRD1	0
ANKRD10	0
ANKRD11	0
ANKRD12	0
ANKRD13A	0.103340292275574
ANKRD13B	0
ANKRD13C	0
ANKRD13D	0
ANKRD17	0
ANKRD18A	0
ANKRD18B	0
ANKRD24	0
ANKRD26	0
ANKRD27	0
ANKRD28	0
ANKRD29	0
ANKRD30A	0
ANKRD30B	0
ANKRD31	0
ANKRD33	0
ANKRD34A	0
ANKRD34B	0
ANKRD34C	0.000735357874165427
ANKRD35	0
ANKRD36	0
ANKRD36B	0
ANKRD36C	0
ANKRD37	0
ANKRD39	0
ANKRD42	0
ANKRD44	0
ANKRD45	0
ANKRD46	0.0918580375782882
ANKRD49	0
ANKRD50	0
ANKRD55	0
ANKRD6	0
ANKRD62	0
ANKRD7	0
ANKS1A	0
ANKS1B	0
ANKS4B	0
ANKS6	0
ANKZF1	0
ANLN	0
ANO1	0
ANO10	0
ANO2	0
ANO3	0
ANO4	0
ANO5	0
ANO6	0
ANO7	0
ANO8	0
ANO9	0
ANOS1	0.206680584551149
ANP32A	0.0246661708698233
ANP32B	0.0625145904340112
ANP32C	0
ANP32D	0
ANP32E	0
ANPEP	0
ANTXR1	0
ANXA1	0
ANXA10	0
ANXA13	0
ANXA3	0
ANXA4	0
ANXA6	0
ANXA7	0
ANXA8L1	0
ANXA9	0
AOC1	0
AOC2	0
AOC3	0
AOPEP	0
AOX1	0
AP1AR	0
AP1B1	0.0418336923969665
AP1G1	0
AP1G2	0
AP1M2	0
AP1S3	0
AP2A1	0
AP2A2	0
AP2B1	0.0638035510615166
AP2M1	0.103340292275574
AP3B1	0
AP3B2	0
AP3D1	0
AP3M1	0
AP3M2	0
AP4B1	0
AP4E1	0
AP4M1	0
AP4S1	0
AP5B1	0
APAF1	0
APBA1	0
APBA2	0.00217856023264655
APBA3	0
APBB1	0
APBB1IP	0
APBB2	0
APBB3	0
APC	0
APC2	0
APCDD1	0
APCS	0
APEX1	0
APEX2	0.305845511482254
APH1A	0
APH1B	0
API5	0
APLF	0.00177919921028234
APLNR	0
APLP1	0
APLP2	0
APMAP	0
APOA1	0
APOA5	0
APOB	0
APOBEC1	0.125519419450799
APOBEC2	0.103340292275574
APOBEC3C	0
APOBEC3F	0
APOBEC3G	0
APOBEC4	0
APOBR	0
APOC2	0.0246661708698233
APOF	0
APOH	0
APOL2	0
APOL5	0
APOL6	0
APOLD1	0
APOO	0.103340292275574
APOOL	0.103340292275574
APP	0
APPBP2	0.0497317027620108
APPL1	0
APPL2	0
APTX	0
AQP10	0
AQP11	0
AQP12A	0
AQP4	0
AQP5	0
AQP7	0
AQP8	0
AQR	0
AR	0
ARAF	0.413361169102297
ARAP1	0
ARAP2	0
ARAP3	0
ARC	0.0246661708698233
AREG	0
AREL1	0
ARF1	0.206680584551149
ARFGAP1	0
ARFGEF1	0.19976471882983
ARFGEF2	0
ARFGEF3	0
ARFIP1	0
ARFIP2	0
ARG1	0.0862911616986933
ARG2	0
ARGFX	0
ARHGAP10	0
ARHGAP11A	0
ARHGAP12	0
ARHGAP15	0.215677463032009
ARHGAP17	0
ARHGAP18	0
ARHGAP19	0
ARHGAP20	0
ARHGAP21	0
ARHGAP23	0
ARHGAP24	0
ARHGAP25	0
ARHGAP26	0
ARHGAP27	0
ARHGAP28	0.1858654545212
ARHGAP29	0
ARHGAP30	0
ARHGAP31	0
ARHGAP32	0
ARHGAP33	0
ARHGAP35	0
ARHGAP36	0.0991649269311066
ARHGAP4	0.102296450939457
ARHGAP42	0
ARHGAP45	0
ARHGAP5	0
ARHGAP6	0.511482254697287
ARHGAP9	0
ARHGDIA	0
ARHGDIB	0
ARHGEF1	0
ARHGEF10	0
ARHGEF10L	0
ARHGEF11	0
ARHGEF12	0
ARHGEF15	0
ARHGEF16	0
ARHGEF17	0
ARHGEF18	0
ARHGEF19	0
ARHGEF2	0
ARHGEF25	0
ARHGEF26	0
ARHGEF28	0
ARHGEF3	0
ARHGEF33	0
ARHGEF35	0
ARHGEF37	0
ARHGEF39	0
ARHGEF4	0
ARHGEF40	0
ARHGEF6	0.509394572025053
ARHGEF7	0
ARHGEF9	0.405010438413362
ARID1A	0
ARID1B	0
ARID2	0
ARID3A	0
ARID3B	0
ARID3C	0
ARID4A	0
ARID4B	0
ARID5A	0
ARID5B	0
ARIH1	0
ARL1	0.103340292275574
ARL10	0
ARL11	0
ARL13B	0
ARL2	0
ARL3	0
ARL4A	0.0242668098474591
ARL5A	0
ARL5B	0.0242668098474591
ARL6	0
ARL6IP6	0
ARL9	0
ARMC12	0.0088151233600352
ARMC2	0
ARMC3	0
ARMC4	0
ARMC5	0
ARMC6	0
ARMC7	0
ARMC8	0
ARMC9	0
ARMCX1	0.400835073068894
ARMCX2	0.413361169102297
ARMCX3	0.100208768267224
ARMCX5	0.411273486430063
ARMCX6	0.19937369519833
ARMH1	0
ARMH3	0
ARMH4	0
ARNT	0
ARNTL	0
ARNTL2	0
ARPC1A	0
ARPC1B	0
ARPC2	0.0242668098474591
ARPC5	0
ARPC5L	0.0242668098474591
ARPP21	0
ARR3	0.205636743215032
ARRB2	0
ARRDC1	0
ARRDC3	0.000889599605141169
ARSA	0
ARSB	0
ARSE	0.408141962421713
ARSF	0.103340292275574
ARSH	0.103340292275574
ARSI	0
ARSJ	0
ARSK	0.0720650716682118
ARV1	0
ARVCF	0
ARX	0.102296450939457
ASAH2	0
ASAP1	0
ASAP2	0
ASAP3	0
ASB1	0
ASB10	0
ASB11	0.103340292275574
ASB12	0
ASB13	0
ASB14	0
ASB15	0
ASB17	0.0489329807172823
ASB2	0
ASB4	0
ASB5	0
ASB7	0.127607102123033
ASB9	0.206680584551149
ASCC1	0
ASCC2	0
ASCC3	0
ASCL3	0
ASF1B	0
ASGR2	0
ASH1L	0.000272632681238203
ASH2L	0
ASIC1	0
ASIC2	0
ASIC3	0
ASIC4	0
ASIC5	0
ASL	0.294750945460123
ASMT	0.103340292275574
ASMTL	0.310020876826722
ASNS	0
ASNSD1	0
ASPG	0
ASPH	0
ASPHD2	0.150830070634375
ASPM	0
ASPN	0
ASPRV1	0.00979560052558909
ASPSCR1	0
ASS1	0
ASTE1	0
ASTN1	0.0016249574793066
ASTN2	0
ASXL1	0
ASXL2	0
ASXL3	0.00116223228637937
ASZ1	0
ATAD1	0
ATAD2	0
ATAD2B	0.0365411166767827
ATAD3A	0
ATAD5	0
ATCAY	0
ATF1	0
ATF2	0.196643199690516
ATF3	0
ATF5	0
ATF6	0.0318013099708525
ATF7IP	0
ATG101	0
ATG12	0
ATG14	0
ATG16L1	0.0422605668091805
ATG16L2	0
ATG2A	0
ATG2B	0
ATG3	0.0475531425293642
ATG4A	0.310020876826722
ATG4B	0
ATG4C	0
ATG4D	0.136603980603894
ATG5	0.0246661708698233
ATG7	0
ATG9A	0
ATIC	0
ATL1	0
ATL2	0
ATL3	0
ATM	0
ATMIN	0
ATN1	0
ATOH1	0
ATP10A	0
ATP10B	0
ATP10D	0
ATP11A	0
ATP11B	0
ATP11C	0.413361169102297
ATP12A	0
ATP13A1	0
ATP13A2	0
ATP13A3	0
ATP13A4	0
ATP13A5	0
ATP1A1	0.325936955985246
ATP1A2	0
ATP1A3	0.137402702648622
ATP1A4	0
ATP1B4	0.103340292275574
ATP2A1	0.0277893574873105
ATP2A2	0.112736531778799
ATP2A3	0
ATP2B1	0.0016249574793066
ATP2B2	0.0583292202205074
ATP2B3	0.616910229645093
ATP2B4	0
ATP2C1	0
ATP2C2	0
ATP4A	0
ATP4B	0
ATP5F1A	0.0497317027620108
ATP5F1C	0.00899687848086066
ATP5PB	0
ATP5PF	0
ATP5PO	0.126563260786916
ATP6AP1	0.103340292275574
ATP6V0A1	0.0329276914765186
ATP6V0A2	0
ATP6V0B	0.00939623950322488
ATP6V0C	0.103340292275574
ATP6V0D2	0
ATP6V0E1	0.205636743215032
ATP6V0E2	0
ATP6V1A	0
ATP6V1B1	0
ATP6V1B2	0.0242668098474591
ATP6V1C1	0.161924636656506
ATP6V1C2	0
ATP6V1D	0.127607102123033
ATP6V1E1	0
ATP6V1E2	0
ATP6V1G1	0
ATP6V1G3	0.0250655318921875
ATP7A	0.820459290187893
ATP7B	0
ATP8A1	0
ATP8A2	0
ATP8B1	0
ATP8B2	0
ATP8B3	0
ATP8B4	0
ATP9A	0
ATP9B	0
ATPSCKMT	0
ATR	0
ATRIP	0
ATRN	0
ATRNL1	0
ATRX	1.22442588726513
ATXN1	0.0829953910903305
ATXN10	0
ATXN1L	0
ATXN2	0
ATXN2L	9.08775604127341e-05
ATXN3	0
ATXN3L	0.310020876826722
ATXN7	0
ATXN7L1	0
ATXN7L2	0
ATXN7L3	0
AUH	0
AUNIP	0
AUP1	0
AURKA	0.137323497435419
AURKB	0
AURKC	0
AUTS2	0
AVEN	0
AVIL	0
AVL9	0
AVPI1	0
AVPR1B	0
AVPR2	0.103340292275574
AWAT1	0.310020876826722
AWAT2	0.103340292275574
AXDND1	0
AXIN1	0
AXIN2	0
AXL	0
AZGP1	0
AZI2	0
AZIN1	0.0242668098474591
B2M	0.310020876826722
B3GALT1	0.0638035510615166
B3GALT5	0
B3GAT2	0
B3GAT3	0
B3GNT3	0
B3GNT4	0
B3GNT5	0
B3GNT7	0
B4GALNT4	0
B4GALT1	0.000889599605141169
B4GALT3	0.0836223628832698
B4GALT4	0.00899687848086066
B4GALT5	0.0743978736318341
B4GALT6	0
B9D1	0.0254648929145517
B9D2	0
BAAT	0
BABAM2	0
BACE2	0
BACH1	0
BACH2	0.147198303174211
BAD	0
BAG2	0
BAG3	0
BAG4	0
BAG5	0.082088282964376
BAG6	0
BAHD1	0
BAIAP2	0
BAIAP2L1	0
BAIAP2L2	0
BAIAP3	0
BAK1	0
BANF2	0
BANK1	0
BANP	0
BAP1	0.263965963435539
BARHL2	0.00033599685180121
BARX2	0
BASP1	0
BATF3	0.0088784875305982
BAX	0
BAZ1A	0
BAZ1B	0
BAZ2A	0
BAZ2B	0
BBC3	0
BBS1	0
BBS10	0
BBS2	0
BBS5	0
BBS7	0
BBS9	0
BBX	0
BCAN	0
BCAP29	0
BCAP31	0.307933194154488
BCAR1	0
BCAR3	0
BCAS2	0.0480433811121412
BCAS3	0
BCAT1	0
BCAT2	0
BCCIP	0
BCDIN3D	0
BCHE	0
BCKDHA	0
BCKDK	0
BCL10	0.0334812942298586
BCL11A	0
BCL2A1	0
BCL2L11	0.0493323417396466
BCL2L13	0
BCL2L14	0
BCL3	0
BCL6	0.00033599685180121
BCL6B	0
BCL7C	0
BCL9	0
BCL9L	0
BCLAF1	0
BCLAF3	0.103340292275574
BCO1	0
BCOR	0.822546972860126
BCORL1	0.620041753653444
BCR	0
BCS1L	0
BDH1	0
BDKRB1	0
BDKRB2	0
BDNF	0
BDP1	0
BECN1	0
BEND2	0.299582463465553
BEND3	0
BEND4	0
BEND5	0
BEND6	0
BEND7	0
BEST1	0
BEST3	0
BET1	0
BEX3	0.308977035490605
BEX4	0.103340292275574
BFAR	0.0880703609089756
BFSP1	0
BFSP2	0
BGN	0.103340292275574
BHLHE41	0
BHMT	0
BHMT2	0
BICC1	0
BICD1	0
BICDL1	0
BICDL2	0
BID	0
BIRC2	0
BIRC3	0
BIRC6	0
BIRC7	0
BLK	0
BLM	0.000790384653864882
BLMH	0
BLNK	0
BLOC1S1	0
BLOC1S2	0.103340292275574
BLOC1S5	0
BLOC1S6	0.000245119291388476
BLVRA	0
BLZF1	0
BMERB1	0
BMF	0
BMP1	0
BMP10	0
BMP2	0
BMP2K	0
BMP3	0
BMP4	0
BMP5	0
BMP6	0
BMP8B	0
BMPER	0
BMPR1A	0
BMPR1B	0
BMPR2	0
BMS1	0
BMX	0.306889352818371
BNC1	0.00205183189152054
BNC2	0
BNIP2	0.000644480313752693
BNIP5	0
BNIPL	0
BOC	0
BOD1L1	0
BOLL	0
BORA	0
BORCS6	0
BORCS7	0
BPHL	0
BPI	0
BPIFB1	0
BPIFB3	0
BPIFB4	0
BPIFC	0
BPTF	0
BRAF	0.102052999126242
BRAP	0.211656339418517
BRCA1	0
BRCA2	0
BRD1	0
BRD3	0
BRD4	0
BRD7	0
BRD8	0
BRD9	0
BRDT	0
BRF1	0
BRF2	0
BRI3	0.103340292275574
BRICD5	0
BRINP1	0
BRINP2	0
BRINP3	0.183059088756528
BRIP1	0
BRIX1	0
BRK1	0.0638035510615166
BRMS1L	0.0470629039465873
BROX	0
BRPF1	0
BRPF3	0.000426874412213944
BRS3	0.310020876826722
BRSK2	0
BRWD1	0
BRWD3	1.02818371607516
BSCL2	0
BSDC1	0.0183656045942359
BSG	0
BSN	0
BSND	0
BST1	0
BST2	0.000889599605141169
BSX	0.00979560052558909
BTAF1	0
BTBD1	0
BTBD10	0
BTBD11	0
BTBD16	0
BTBD19	0.0485336196949181
BTBD3	0.00899687848086066
BTBD6	0
BTBD7	0
BTBD9	0
BTC	0
BTD	0
BTF3	0.206680584551149
BTG3	0
BTG4	0
BTK	0.413361169102297
BTN1A1	0
BTN2A1	0
BTN2A2	0
BTN3A1	0
BTN3A3	0
BTNL2	0
BTNL3	0
BTNL8	0
BTNL9	0
BTRC	0.137003341626258
BUB1	0
BUB1B	0
BUB3	0.118212530097981
BUD13	0
BUD23	0.0329276914765186
BUD31	0.0612256298065059
BZW1	0
C10orf120	0
C10orf53	0
C10orf62	0
C10orf71	0
C10orf82	0
C10orf88	0
C10orf90	0
C10orf99	0
C11orf16	0
C11orf21	0
C11orf24	0
C11orf45	0
C11orf52	0
C11orf58	0.0888690829537041
C11orf71	0.0232863326819052
C11orf74	0
C11orf86	0.000245119291388476
C11orf95	0
C12orf40	0
C12orf45	0
C12orf56	0
C12orf57	0
C12orf60	0
C12orf71	0
C12orf75	0.103340292275574
C12orf77	0
C14orf119	0.000245119291388476
C14orf39	0
C14orf93	0
C15orf39	0
C15orf40	0
C15orf61	0
C16orf46	0
C16orf70	0
C16orf71	0
C16orf82	0
C16orf86	0.000644480313752693
C16orf87	0.103340292275574
C16orf89	0
C16orf90	0
C16orf91	0
C16orf92	0
C16orf96	0
C17orf53	0
C17orf64	0.0782847652524228
C17orf67	0
C17orf75	0
C17orf77	0
C17orf80	0
C17orf97	0
C18orf54	0
C19orf12	0
C19orf18	0
C19orf33	0.00137983818791812
C19orf44	0
C19orf53	0.000245119291388476
C19orf54	0
C19orf57	0
C19orf71	0
C19orf73	0.0088784875305982
C1GALT1	0.0485336196949181
C1GALT1C1	0.0981210855949897
C1GALT1C1L	0
C1orf112	0
C1orf116	0
C1orf127	0
C1orf141	0
C1orf185	0.000245119291388476
C1orf194	0
C1orf198	0
C1orf210	0.000245119291388476
C1orf226	0
C1orf43	0
C1orf54	0
C1orf87	0
C1orf94	0
C1QA	0.0638035510615166
C1QB	0.0242668098474591
C1QTNF3	0
C1QTNF5	0
C1QTNF6	0
C1QTNF7	0
C1QTNF9	0
C1RL	0
C2	0
C20orf173	0
C21orf58	0
C21orf91	0
C22orf23	0
C22orf42	0
C2CD2	0
C2CD2L	0
C2CD3	0
C2CD5	0
C2CD6	0
C2orf16	0
C2orf42	0.017084981357594
C2orf50	0.000644480313752693
C2orf69	0.00128896062750539
C2orf73	0
C2orf78	0
C2orf80	0
C2orf81	0
C3	0
C3AR1	0
C3orf14	0.103340292275574
C3orf20	0
C3orf22	0
C3orf33	0
C3orf35	0
C3orf52	0.000490238582776951
C3orf67	0
C3orf70	0
C4BPA	0
C4orf17	0.253525882596197
C4orf3	0.0493323417396466
C4orf33	0
C4orf36	0.167543204359455
C4orf45	0
C4orf47	0
C5	0
C5AR1	0
C5AR2	0
C5orf15	0
C5orf49	0
C5orf51	0
C5orf52	0
C5orf60	0
C6	0
C6orf118	0
C6orf120	0
C6orf141	0
C6orf163	0
C6orf58	0
C6orf62	0
C6orf89	0
C7	0
C7orf26	0
C7orf31	0
C7orf50	0
C7orf57	0
C7orf61	0
C7orf65	0
C8A	0
C8B	0
C8orf48	0
C8orf74	0
C8orf86	0
C9orf116	0
C9orf131	0
C9orf135	0
C9orf43	0.000581116143189685
C9orf50	0
C9orf57	0.000245119291388476
C9orf72	0
C9orf78	0
C9orf85	0
CA1	0
CA11	0.0638035510615166
CA12	0
CA14	0
CA2	0
CA4	0
CA5A	0
CA6	0
CA9	0
CABCOCO1	0.0493323417396466
CABIN1	0
CABLES1	0
CABP5	0
CABS1	0.000245119291388476
CABYR	0
CACHD1	0
CACNA1A	0
CACNA1B	0
CACNA1C	0
CACNA1D	5.5026779699454e-05
CACNA1E	0
CACNA1F	1.23903966597077
CACNA1G	0
CACNA1H	0
CACNA1I	0
CACNA1S	0
CACNA2D1	0
CACNA2D2	0
CACNA2D3	0
CACNA2D4	0
CACNB1	0
CACNB2	0
CACNB3	0
CACNB4	0
CACNG3	0.126563260786916
CACNG4	0.000245119291388476
CACNG5	0
CACNG7	0
CACNG8	0
CACTIN	0
CACUL1	0
CAD	0
CADM1	0
CADM2	0.176540082840315
CADM3	0
CADM4	0
CADPS	0.413107712420044
CADPS2	0
CALB2	0
CALCA	0
CALCOCO1	0
CALCR	0
CALCRL	0
CALD1	0
CALHM1	0
CALHM2	0
CALHM4	0
CALHM6	0
CALM2	0.103340292275574
CALML5	0.0638035510615166
CALN1	0.100208768267224
CALR3	0.19141065318455
CALU	0
CAMK1G	0
CAMK2A	0.308977035490605
CAMK2D	0.0884697219313398
CAMK2G	0.000490238582776951
CAMK4	0.00153407991889386
CAMKK1	0
CAMKK2	0
CAMKMT	0
CAMKV	0.0880703609089756
CAMSAP1	0
CAMSAP2	0.000181755120825468
CAMSAP3	0
CAMTA1	0
CAMTA2	0
CAND1	0.156114308963696
CAND2	0
CANT1	0
CANX	0.00113471889652964
CAP1	0
CAP2	0.00890600092044793
CAPG	0
CAPN1	0
CAPN10	0
CAPN11	0
CAPN12	0
CAPN13	0
CAPN14	0
CAPN15	0
CAPN2	0
CAPN3	0
CAPN6	0.413361169102297
CAPN7	0
CAPN9	0
CAPRIN1	0
CAPRIN2	0
CAPS2	0
CAPZA2	0.0242668098474591
CAPZB	0
CARD10	0
CARD11	0
CARD14	0
CARD16	0
CARD17	0
CARD6	0
CARD8	0
CARD9	0
CARF	0
CARM1	0
CARMIL1	0
CARMIL3	0
CARNS1	0
CARS	0
CASC1	0
CASC4	0.021188645140635
CASK	0.620041753653444
CASKIN1	0
CASKIN2	0
CASP1	0
CASP14	0
CASP5	0
CASP7	0
CASP8	0.168978069327072
CASP8AP2	0
CASP9	0
CASQ1	0
CASQ2	0.0951062850587285
CASR	0
CASS4	0
CAST	0
CASTOR1	0
CASZ1	0
CAT	0
CATIP	0
CATSPER1	0
CATSPER2	0
CATSPER3	0
CATSPER4	0
CATSPERB	0
CATSPERD	0
CATSPERE	0
CATSPERG	0
CATSPERZ	0
CAV1	0.307933194154488
CAVIN1	0
CAVIN2	0.000490238582776951
CBFA2T2	0
